,Country,Month,Confirmed
0,China,2020-01,9802
0,Thailand,2020-01,19
0,Japan,2020-01,15
0,Singapore,2020-01,13
0,South Korea,2020-01,11
0,Taiwan,2020-01,10
0,Australia,2020-01,9
0,Malaysia,2020-01,8
0,United States,2020-01,8
0,France,2020-01,5
0,China,2020-02,79356
0,South Korea,2020-02,3150
0,Italy,2020-02,1128
0,Iran,2020-02,593
0,Japan,2020-02,245
0,Singapore,2020-02,102
0,France,2020-02,100
0,Germany,2020-02,79
0,United Kingdom,2020-02,61
0,Kuwait,2020-02,45
0,United States,2020-03,192301
0,Italy,2020-03,105792
0,Spain,2020-03,95923
0,China,2020-03,82279
0,Germany,2020-03,71808
0,France,2020-03,52278
0,Iran,2020-03,44605
0,United Kingdom,2020-03,38815
0,Switzerland,2020-03,16605
0,Turkey,2020-03,13531
0,United States,2020-04,1081020
0,Spain,2020-04,213435
0,Italy,2020-04,205463
0,United Kingdom,2020-04,178771
0,France,2020-04,168861
0,Germany,2020-04,163009
0,Turkey,2020-04,120204
0,Russia,2020-04,106498
0,Iran,2020-04,94640
0,Brazil,2020-04,87187
0,United States,2020-05,1798718
0,Brazil,2020-05,514849
0,Russia,2020-05,405843
0,United Kingdom,2020-05,257539
0,Spain,2020-05,239479
0,Italy,2020-05,232997
0,France,2020-05,190975
0,India,2020-05,190609
0,Germany,2020-05,183410
0,Peru,2020-05,164476
0,United States,2020-06,2642174
0,Brazil,2020-06,1402041
0,Russia,2020-06,646929
0,India,2020-06,585481
0,United Kingdom,2020-06,285216
0,Peru,2020-06,285213
0,Chile,2020-06,279393
0,Spain,2020-06,249271
0,Italy,2020-06,240578
0,Iran,2020-06,227662
0,United States,2020-07,4567420
0,Brazil,2020-07,2662485
0,India,2020-07,1695988
0,Russia,2020-07,838461
0,South Africa,2020-07,493183
0,Mexico,2020-07,424637
0,Peru,2020-07,407492
0,Chile,2020-07,355667
0,United Kingdom,2020-07,304793
0,Iran,2020-07,304204
0,United States,2020-08,6026895
0,Brazil,2020-08,3908272
0,India,2020-08,3691166
0,Russia,2020-08,992402
0,Peru,2020-08,647166
0,South Africa,2020-08,627041
0,Colombia,2020-08,615094
0,Mexico,2020-08,599560
0,Spain,2020-08,462858
0,Argentina,2020-08,417735
0,United States,2020-09,7235373
0,India,2020-09,6312584
0,Brazil,2020-09,4810935
0,Russia,2020-09,1170799
0,Colombia,2020-09,829679
0,Peru,2020-09,811768
0,Spain,2020-09,769188
0,Argentina,2020-09,751001
0,Mexico,2020-09,743216
0,South Africa,2020-09,674339
0,United States,2020-10,9165549
0,India,2020-10,8184082
0,Brazil,2020-10,5535605
0,Russia,2020-10,1606267
0,France,2020-10,1414364
0,Spain,2020-10,1185678
0,Argentina,2020-10,1166924
0,Colombia,2020-10,1074184
0,United Kingdom,2020-10,1014795
0,Mexico,2020-10,924962
0,United States,2020-11,13670332
0,India,2020-11,9462809
0,Brazil,2020-11,6335878
0,France,2020-11,2276874
0,Russia,2020-11,2275936
0,Spain,2020-11,1648187
0,United Kingdom,2020-11,1633736
0,Italy,2020-11,1601554
0,Argentina,2020-11,1424533
0,Colombia,2020-11,1316806
0,United States,2020-12,20099090
0,India,2020-12,10266674
0,Brazil,2020-12,7675973
0,Russia,2020-12,3127347
0,France,2020-12,2677666
0,United Kingdom,2020-12,2496235
0,Turkey,2020-12,2208652
0,Italy,2020-12,2107166
0,Spain,2020-12,1928265
0,Germany,2020-12,1760520
0,United States,2021-01,26246328
0,India,2021-01,10757610
0,Brazil,2021-01,9204731
0,United Kingdom,2021-01,3828187
0,Russia,2021-01,3808348
0,France,2021-01,3255920
0,Spain,2021-01,2743119
0,Italy,2021-01,2553032
0,Turkey,2021-01,2477463
0,Germany,2021-01,2225659
0,United States,2021-02,28647027
0,India,2021-02,11112241
0,Brazil,2021-02,10551259
0,Russia,2021-02,4198400
0,United Kingdom,2021-02,4188827
0,France,2021-02,3815639
0,Spain,2021-02,3188553
0,Italy,2021-02,2925265
0,Turkey,2021-02,2701588
0,Germany,2021-02,2450295
0,United States,2021-03,30460834
0,Brazil,2021-03,12748747
0,India,2021-03,12221665
0,France,2021-03,4705068
0,Russia,2021-03,4494234
0,United Kingdom,2021-03,4359982
0,Italy,2021-03,3584899
0,Turkey,2021-03,3317182
0,Spain,2021-03,3284353
0,Germany,2021-03,2843644
0,United States,2021-04,30706126
0,Brazil,2021-04,12984956
0,India,2021-04,12589067
0,France,2021-04,4883174
0,Russia,2021-04,4529576
0,United Kingdom,2021-04,4373798
0,Italy,2021-04,3668264
0,Turkey,2021-04,3487050
0,Spain,2021-04,3300965
0,Germany,2021-04,2896329
