,Country,Month,Deaths
0,China,2020-01,213
0,China,2020-02,2837
0,Iran,2020-02,43
0,Italy,2020-02,29
0,South Korea,2020-02,16
0,Japan,2020-02,6
0,France,2020-02,2
0,Philippines,2020-02,1
0,Taiwan,2020-02,1
0,United States,2020-02,1
0,Italy,2020-03,12428
0,Spain,2020-03,8464
0,United States,2020-03,5370
0,France,2020-03,3526
0,China,2020-03,3309
0,Iran,2020-03,2898
0,United Kingdom,2020-03,2457
0,Netherlands,2020-03,1040
0,Germany,2020-03,775
0,Belgium,2020-03,705
0,United States,2020-04,66230
0,Italy,2020-04,27967
0,United Kingdom,2020-04,26754
0,Spain,2020-04,24543
0,France,2020-04,24349
0,Belgium,2020-04,7594
0,Germany,2020-04,6623
0,Iran,2020-04,6028
0,Brazil,2020-04,6006
0,Netherlands,2020-04,4811
0,United States,2020-05,107830
0,United Kingdom,2020-05,37527
0,Italy,2020-05,33415
0,Brazil,2020-05,29314
0,France,2020-05,28805
0,Spain,2020-05,27127
0,Mexico,2020-05,9930
0,Belgium,2020-05,9467
0,Germany,2020-05,8540
0,Canada,2020-05,7905
0,United States,2020-06,127592
0,Brazil,2020-06,59594
0,United Kingdom,2020-06,40479
0,Italy,2020-06,34767
0,France,2020-06,29846
0,Spain,2020-06,28355
0,Mexico,2020-06,27769
0,India,2020-06,17400
0,Iran,2020-06,10817
0,Belgium,2020-06,9747
0,United States,2020-07,154113
0,Brazil,2020-07,92475
0,Mexico,2020-07,46688
0,United Kingdom,2020-07,41274
0,India,2020-07,36511
0,Italy,2020-07,35141
0,France,2020-07,30268
0,Spain,2020-07,28445
0,Peru,2020-07,19021
0,Iran,2020-07,16766
0,United States,2020-08,183746
0,Brazil,2020-08,121381
0,India,2020-08,65288
0,Mexico,2020-08,64414
0,United Kingdom,2020-08,41589
0,Italy,2020-08,35483
0,France,2020-08,30646
0,Spain,2020-08,29094
0,Peru,2020-08,28788
0,Iran,2020-08,21571
0,United States,2020-09,207124
0,Brazil,2020-09,143952
0,India,2020-09,98678
0,Mexico,2020-09,77646
0,United Kingdom,2020-09,42233
0,Italy,2020-09,35894
0,Peru,2020-09,32396
0,France,2020-09,31978
0,Spain,2020-09,31791
0,Iran,2020-09,26169
0,United States,2020-10,231633
0,Brazil,2020-10,159884
0,India,2020-10,122111
0,Mexico,2020-10,91753
0,United Kingdom,2020-10,46645
0,Italy,2020-10,38618
0,France,2020-10,36827
0,Spain,2020-10,35878
0,Iran,2020-10,34864
0,Peru,2020-10,34411
0,United States,2020-11,270864
0,Brazil,2020-11,173120
0,India,2020-11,137621
0,Mexico,2020-11,105940
0,United Kingdom,2020-11,58545
0,Italy,2020-11,55576
0,France,2020-11,52819
0,Iran,2020-11,48246
0,Spain,2020-11,45069
0,Russia,2020-11,39491
0,United States,2020-12,351866
0,Brazil,2020-12,194949
0,India,2020-12,148738
0,Mexico,2020-12,125807
0,Italy,2020-12,74159
0,United Kingdom,2020-12,73622
0,France,2020-12,64759
0,Russia,2020-12,56271
0,Iran,2020-12,55223
0,Spain,2020-12,50837
0,United States,2021-01,448925
0,Brazil,2021-01,224504
0,Mexico,2021-01,158536
0,India,2021-01,154392
0,United Kingdom,2021-01,106367
0,Italy,2021-01,88516
0,France,2021-01,76201
0,Russia,2021-01,72029
0,Spain,2021-01,58319
0,Iran,2021-01,57959
0,United States,2021-02,513992
0,Brazil,2021-02,254942
0,Mexico,2021-02,185715
0,India,2021-02,157157
0,United Kingdom,2021-02,123083
0,Italy,2021-02,97699
0,France,2021-02,86580
0,Russia,2021-02,84700
0,Germany,2021-02,70152
0,Spain,2021-02,69142
0,United States,2021-03,548087
0,Brazil,2021-03,307112
0,Mexico,2021-03,200862
0,India,2021-03,161240
0,United Kingdom,2021-03,126755
0,Italy,2021-03,107256
0,Russia,2021-03,95410
0,France,2021-03,94432
0,Germany,2021-03,75828
0,Spain,2021-03,75010
