,Country,Month,Hospitalizations
0,Italy,2020-02,506.0
0,France,2020-02,86.0
0,Netherlands,2020-02,10.0
0,Estonia,2020-02,1.0
0,Sweden,2020-02,1.0
0,Iceland,2020-02,1.0
0,Italy,2020-03,32215.0
0,France,2020-03,22672.0
0,United Kingdom,2020-03,12597.0
0,Belgium,2020-03,4989.0
0,Netherlands,2020-03,3095.0
0,Sweden,2020-03,1295.0
0,Israel,2020-03,685.0
0,Portugal,2020-03,627.0
0,Ireland,2020-03,596.0
0,Canada,2020-03,482.0
0,France,2020-04,26192.0
0,Italy,2020-04,19843.0
0,United Kingdom,2020-04,15164.0
0,Belgium,2020-04,3386.0
0,Poland,2020-04,3012.0
0,Canada,2020-04,2903.0
0,Sweden,2020-04,2230.0
0,Netherlands,2020-04,1471.0
0,Hungary,2020-04,998.0
0,Portugal,2020-04,968.0
0,France,2020-05,14271.0
0,United Kingdom,2020-05,7237.0
0,Italy,2020-05,6822.0
0,Poland,2020-05,2134.0
0,Canada,2020-05,2116.0
0,Sweden,2020-05,1635.0
0,Belgium,2020-05,818.0
0,Netherlands,2020-05,544.0
0,Portugal,2020-05,474.0
0,Hungary,2020-05,419.0
0,France,2020-06,8491.0
0,United Kingdom,2020-06,3383.0
0,Poland,2020-06,1811.0
0,Italy,2020-06,1183.0
0,Sweden,2020-06,896.0
0,Canada,2020-06,756.0
0,Portugal,2020-06,491.0
0,Bulgaria,2020-06,434.0
0,Israel,2020-06,296.0
0,Belgium,2020-06,222.0
0,United States,2020-07,45812.0
0,France,2020-07,5257.0
0,Poland,2020-07,1778.0
0,United Kingdom,2020-07,1265.0
0,Israel,2020-07,862.0
0,Italy,2020-07,757.0
0,Bulgaria,2020-07,751.0
0,Portugal,2020-07,381.0
0,Canada,2020-07,379.0
0,Sweden,2020-07,258.0
0,United States,2020-08,31268.0
0,Spain,2020-08,6957.0
0,France,2020-08,4564.0
0,Poland,2020-08,2249.0
0,Italy,2020-08,1382.0
0,Israel,2020-08,1081.0
0,United Kingdom,2020-08,853.0
0,Bulgaria,2020-08,726.0
0,Portugal,2020-08,349.0
0,Croatia,2020-08,251.0
0,United States,2020-09,27584.0
0,Spain,2020-09,10855.0
0,France,2020-09,6572.0
0,Italy,2020-09,3327.0
0,United Kingdom,2020-09,2530.0
0,Poland,2020-09,2481.0
0,Israel,2020-09,1831.0
0,Czechia,2020-09,1061.0
0,Bulgaria,2020-09,814.0
0,Hungary,2020-09,773.0
0,United States,2020-10,45072.0
0,France,2020-10,23013.0
0,Italy,2020-10,19809.0
0,Spain,2020-10,18162.0
0,Poland,2020-10,16144.0
0,United Kingdom,2020-10,12302.0
0,Czechia,2020-10,7303.0
0,Belgium,2020-10,6502.0
0,Hungary,2020-10,4048.0
0,Bulgaria,2020-10,2447.0
0,United States,2020-11,94977.0
0,Italy,2020-11,36931.0
0,France,2020-11,28229.0
0,Poland,2020-11,21504.0
0,United Kingdom,2020-11,16564.0
0,Spain,2020-11,14503.0
0,Hungary,2020-11,7734.0
0,Bulgaria,2020-11,6869.0
0,Czechia,2020-11,4818.0
0,Belgium,2020-11,4014.0
0,United States,2020-12,123082.0
0,United Kingdom,2020-12,26572.0
0,Italy,2020-12,25706.0
0,France,2020-12,24407.0
0,Poland,2020-12,16970.0
0,Spain,2020-12,11535.0
0,Czechia,2020-12,6138.0
0,Hungary,2020-12,5856.0
0,Bulgaria,2020-12,4831.0
0,Canada,2020-12,4187.0
0,United States,2021-01,91303.0
0,United Kingdom,2021-01,32587.0
0,Spain,2021-01,30804.0
0,France,2021-01,27573.0
0,Italy,2021-01,22311.0
0,Poland,2021-01,13339.0
0,Portugal,2021-01,6694.0
0,Czechia,2021-01,5540.0
0,Canada,2021-01,3617.0
0,Hungary,2021-01,3562.0
0,United States,2021-02,44810.0
0,France,2021-02,25280.0
0,Italy,2021-02,20869.0
0,Poland,2021-02,14058.0
0,United Kingdom,2021-02,12789.0
0,Spain,2021-02,12207.0
0,Czechia,2021-02,7457.0
0,Hungary,2021-02,5482.0
0,Bulgaria,2021-02,4674.0
0,Slovakia,2021-02,3799.0
0,United States,2021-03,33874.0
0,Italy,2021-03,30932.0
0,France,2021-03,25926.0
0,Poland,2021-03,23583.0
0,Hungary,2021-03,10652.0
0,Bulgaria,2021-03,8545.0
0,Czechia,2021-03,8288.0
0,Spain,2021-03,7841.0
0,United Kingdom,2021-03,5122.0
0,Slovakia,2021-03,3395.0
