,Entity,International Travel Controls,Day,continent
0,Albania,Ban on high-risk regions,2021-01-01,Europe
1,Algeria,Total border closure,2021-01-01,Africa
2,Andorra,Quarantine from high-risk regions,2021-01-26,Europe
3,Angola,Ban on high-risk regions,2021-01-19,Africa
4,Argentina,Ban on high-risk regions,2021-01-01,South America
5,Australia,Total border closure,2021-01-01,Oceania
6,Austria,Ban on high-risk regions,2021-01-01,Europe
7,Azerbaijan,Total border closure,2021-01-01,Asia
8,Bahamas,Screening,2021-01-01,North America
9,Bahrain,Screening,2021-01-01,Asia
10,Bangladesh,Quarantine from high-risk regions,2021-01-26,Asia
11,Barbados,Quarantine from high-risk regions,2021-01-01,North America
12,Belarus,Total border closure,2021-01-01,Europe
13,Belgium,Ban on high-risk regions,2021-01-01,Europe
14,Belize,Screening,2021-01-01,North America
15,Benin,Total border closure,2021-02-09,Africa
16,Bermuda,Quarantine from high-risk regions,2021-01-01,North America
17,Bhutan,Ban on high-risk regions,2021-01-01,Asia
18,Bolivia,Screening,2021-01-29,South America
19,Bosnia and Herzegovina,Screening,2021-01-01,Europe
20,Botswana,Screening,2021-01-04,Africa
21,Brazil,Screening,2021-01-01,South America
22,Brunei,Total border closure,2021-03-01,Asia
23,Bulgaria,Ban on high-risk regions,2021-01-01,Europe
24,Burkina Faso,Screening,2021-01-01,Africa
25,Burundi,No measures,2021-02-23,Africa
26,Cambodia,Quarantine from high-risk regions,2021-01-01,Asia
27,Cameroon,Screening,2021-01-01,Africa
28,Canada,Total border closure,2021-01-01,North America
29,Central African Republic,Quarantine from high-risk regions,2021-01-01,Africa
30,Chad,Quarantine from high-risk regions,2021-01-01,Africa
31,Chile,Ban on high-risk regions,2021-01-01,South America
32,China,Ban on high-risk regions,2021-01-01,Asia
33,Colombia,Total border closure,2021-01-01,South America
34,Congo,Quarantine from high-risk regions,2021-01-01,Africa
35,Costa Rica,Screening,2021-01-01,North America
36,Cote d'Ivoire,Total border closure,2021-02-08,Africa
37,Croatia,Ban on high-risk regions,2021-01-01,Europe
38,Cuba,Quarantine from high-risk regions,2021-01-10,North America
39,Cyprus,Ban on high-risk regions,2021-01-01,Europe
40,Czechia,Ban on high-risk regions,2021-01-01,Europe
41,Democratic Republic of Congo,Screening,2021-01-01,Africa
