,Country,Month,Recovered
0,China,2020-01,211
0,Thailand,2020-01,8
0,Australia,2020-01,2
0,Japan,2020-01,1
0,China,2020-02,37868
0,Iran,2020-02,123
0,Singapore,2020-02,72
0,Italy,2020-02,46
0,Japan,2020-02,32
0,Thailand,2020-02,28
0,South Korea,2020-02,27
0,Malaysia,2020-02,18
0,Germany,2020-02,16
0,Vietnam,2020-02,16
0,China,2020-03,74645
0,Spain,2020-03,19259
0,Germany,2020-03,16100
0,Italy,2020-03,15729
0,Iran,2020-03,14656
0,France,2020-03,9513
0,United States,2020-03,7024
0,South Korea,2020-03,5408
0,Switzerland,2020-03,1823
0,Belgium,2020-03,1696
0,United States,2020-04,153947
0,Germany,2020-04,123500
0,Spain,2020-04,112050
0,China,2020-04,76951
0,Italy,2020-04,75945
0,Iran,2020-04,75103
0,France,2020-04,49476
0,Turkey,2020-04,48886
0,Brazil,2020-04,35935
0,Switzerland,2020-04,23400
0,United States,2020-05,444758
0,Brazil,2020-05,206555
0,Russia,2020-05,171883
0,Germany,2020-05,165352
0,Italy,2020-05,157507
0,Spain,2020-05,150376
0,Turkey,2020-05,127973
0,Iran,2020-05,118848
0,India,2020-05,91852
0,China,2020-05,77813
0,Brazil,2020-06,788318
0,United States,2020-06,720631
0,Russia,2020-06,411973
0,India,2020-06,347912
0,Chile,2020-06,241229
0,Italy,2020-06,190248
0,Iran,2020-06,188758
0,Germany,2020-06,178100
0,Mexico,2020-06,174538
0,Peru,2020-06,174535
0,Brazil,2020-07,2008854
0,United States,2020-07,1438160
0,India,2020-07,1094374
0,Russia,2020-07,637217
0,Chile,2020-07,328327
0,Mexico,2020-07,327115
0,South Africa,2020-07,326171
0,Peru,2020-07,283915
0,Iran,2020-07,263519
0,Pakistan,2020-07,247177
0,Brazil,2020-08,3268591
0,India,2020-08,2839882
0,United States,2020-08,2184825
0,Russia,2020-08,807339
0,South Africa,2020-08,540923
0,Mexico,2020-08,496222
0,Colombia,2020-08,459460
0,Peru,2020-08,455457
0,Chile,2020-08,383879
0,Iran,2020-08,323233
0,India,2020-09,5273201
0,Brazil,2020-09,4274774
0,United States,2020-09,2840688
0,Russia,2020-09,954788
0,Colombia,2020-09,743653
0,Peru,2020-09,676925
0,Mexico,2020-09,628007
0,South Africa,2020-09,608112
0,Argentina,2020-09,594645
0,Chile,2020-09,436589
0,India,2020-10,7491513
0,Brazil,2020-10,5005161
0,United States,2020-10,3612478
0,Russia,2020-10,1208440
0,Argentina,2020-10,973939
0,Colombia,2020-10,969230
0,Peru,2020-10,822316
0,Mexico,2020-10,779371
0,South Africa,2020-10,654182
0,Chile,2020-10,486642
0,India,2020-11,8889585
0,Brazil,2020-11,5597802
0,United States,2020-11,5146319
0,Russia,2020-11,1763493
0,Argentina,2020-11,1257227
0,Colombia,2020-11,1210489
0,Peru,2020-11,893061
0,Mexico,2020-11,823586
0,Italy,2020-11,757507
0,Germany,2020-11,749219
0,India,2020-12,9860280
0,Brazil,2020-12,6848844
0,United States,2020-12,6298082
0,Russia,2020-12,2527722
0,Turkey,2020-12,2100650
0,Colombia,2020-12,1508419
0,Italy,2020-12,1463111
0,Argentina,2020-12,1426676
0,Germany,2020-12,1350708
0,Mexico,2020-12,1074795
0,India,2021-01,10434983
0,Brazil,2021-01,8176373
0,Russia,2021-01,3264611
0,Turkey,2021-01,2362415
0,Italy,2021-01,2010548
0,Germany,2021-01,1940046
0,Colombia,2021-01,1938322
0,Argentina,2021-01,1721650
0,Mexico,2021-01,1412393
0,South Africa,2021-01,1299620
0,India,2021-02,10786452
0,Brazil,2021-02,9382316
0,Russia,2021-02,3769025
0,Turkey,2021-02,2572234
0,Italy,2021-02,2405199
0,Germany,2021-02,2259548
0,Colombia,2021-02,2148249
0,Argentina,2021-02,1905021
0,Mexico,2021-02,1633900
0,South Africa,2021-02,1430259
0,India,2021-03,11474683
0,Brazil,2021-03,11181371
0,Russia,2021-03,4118709
0,Turkey,2021-03,3014226
0,Italy,2021-03,2913045
0,Germany,2021-03,2539660
0,Colombia,2021-03,2285515
0,Argentina,2021-03,2102616
0,Poland,2021-03,1861925
0,Mexico,2021-03,1765244
0,India,2021-04,11682136
0,Brazil,2021-04,11343607
0,Russia,2021-04,4156141
0,Turkey,2021-04,3105350
0,Italy,2021-04,2988199
0,Germany,2021-04,2585850
0,Colombia,2021-04,2317564
0,Argentina,2021-04,2140480
0,Poland,2021-04,1978433
0,Mexico,2021-04,1765244
