,Entity,School Closures,Day,continent
0,Albania,Required for some levels,2021-01-11,Europe
1,Algeria,Recommended,2021-01-01,Africa
2,Andorra,Recommended,2021-01-01,Europe
3,Angola,Recommended,2021-02-05,Africa
4,Argentina,Recommended,2021-03-08,South America
5,Australia,Recommended,2021-01-01,Oceania
6,Austria,Required for some levels,2021-02-15,Europe
7,Azerbaijan,Required for some levels,2021-02-01,Asia
8,Bahamas,Required for all levels,2021-01-01,North America
9,Bahrain,Required for all levels,2021-01-31,Asia
10,Bangladesh,Required for all levels,2021-01-01,Asia
11,Barbados,Required for all levels,2021-01-18,North America
12,Belarus,No measures,2021-01-01,Europe
13,Belgium,Recommended,2021-01-01,Europe
14,Belize,Required for all levels,2021-01-01,North America
15,Benin,Recommended,2021-01-01,Africa
16,Bermuda,Recommended,2021-01-13,North America
17,Bhutan,No measures,2021-02-01,Asia
18,Bolivia,Required for some levels,2021-02-01,South America
19,Bosnia and Herzegovina,Recommended,2021-01-01,Europe
20,Botswana,Recommended,2021-01-01,Africa
21,Brazil,Required for all levels,2021-01-01,South America
22,Brunei,Recommended,2021-01-01,Asia
23,Bulgaria,Required for some levels,2021-01-01,Europe
24,Burkina Faso,No measures,2021-01-01,Africa
25,Burundi,No measures,2021-01-05,Africa
26,Cambodia,Recommended,2021-01-11,Asia
27,Cameroon,Recommended,2021-01-01,Africa
28,Canada,Required for all levels,2021-01-11,North America
29,Central African Republic,No measures,2021-01-01,Africa
30,Chad,No measures,2021-02-02,Africa
31,Chile,Required for all levels,2021-01-01,South America
32,China,Recommended,2021-03-01,Asia
33,Colombia,Required for some levels,2021-01-01,South America
34,Congo,No measures,2021-03-02,Africa
35,Costa Rica,Recommended,2021-02-08,North America
36,Cote d'Ivoire,No measures,2021-01-01,Africa
37,Croatia,Recommended,2021-01-18,Europe
38,Cuba,Required for all levels,2021-01-14,North America
39,Cyprus,Required for some levels,2021-01-01,Europe
40,Czechia,Required for all levels,2021-01-01,Europe
41,Democratic Republic of Congo,No measures,2021-01-05,Africa
42,Denmark,Required for some levels,2021-01-01,Europe
43,Djibouti,Recommended,2021-01-01,Africa
44,Dominican Republic,Required for all levels,2021-01-01,North America
45,Ecuador,Required for some levels,2021-02-28,South America
46,Egypt,Required for some levels,2021-01-01,Africa
47,El Salvador,Required for all levels,2021-01-01,North America
48,Eritrea,Required for some levels,2021-01-01,Africa
49,Estonia,Required for all levels,2021-01-01,Europe
50,Eswatini,Required for all levels,2021-01-07,Africa
51,Ethiopia,Required for all levels,2021-03-09,Africa
52,Faeroe Islands,Recommended,2021-02-16,Europe
53,Fiji,No measures,2021-01-01,Oceania
54,Finland,Required for some levels,2021-01-01,Europe
55,France,Recommended,2021-01-25,Europe
56,Gabon,Recommended,2021-01-01,Africa
57,Gambia,No measures,2021-03-02,Africa
58,Georgia,No measures,2021-03-01,Asia
59,Germany,Required for all levels,2021-01-01,Europe
60,Ghana,No measures,2021-02-02,Africa
61,Greece,Required for all levels,2021-01-01,Europe
62,Greenland,Recommended,2021-01-05,North America
63,Guatemala,Required for some levels,2021-01-04,North America
64,Guinea,Recommended,2021-01-01,Africa
65,Guyana,Required for some levels,2021-01-01,South America
66,Haiti,No measures,2021-03-04,North America
67,Honduras,Required for all levels,2021-01-01,North America
68,Hong Kong,Required for some levels,2021-01-01,Asia
69,Hungary,Required for all levels,2021-03-08,Europe
70,Iceland,Recommended,2021-01-01,Europe
71,India,Required for some levels,2021-02-24,Asia
72,Indonesia,Required for all levels,2021-03-01,Asia
73,Iran,Required for all levels,2021-01-01,Asia
74,Iraq,Required for some levels,2021-02-16,Asia
75,Ireland,Required for some levels,2021-03-01,Europe
76,Israel,Required for some levels,2021-01-01,Asia
77,Italy,Required for all levels,2021-02-15,Europe
78,Jamaica,Recommended,2021-01-04,North America
79,Japan,Recommended,2021-01-01,Asia
80,Jordan,Required for all levels,2021-01-01,Asia
81,Kazakhstan,Required for some levels,2021-01-01,Asia
82,Kenya,Recommended,2021-01-04,Africa
83,Kosovo,Recommended,2021-01-01,Europe
84,Kuwait,Required for all levels,2021-01-01,Asia
85,Kyrgyzstan,Required for some levels,2021-01-01,Asia
86,Laos,No measures,2021-01-01,Asia
87,Latvia,Required for some levels,2021-01-01,Europe
88,Lebanon,Required for all levels,2021-01-01,Asia
89,Lesotho,Required for some levels,2021-01-04,Africa
90,Liberia,No measures,2021-01-01,Africa
91,Libya,Recommended,2021-01-03,Africa
92,Lithuania,Required for some levels,2021-01-18,Europe
93,Luxembourg,Required for some levels,2021-02-08,Europe
94,Macao,Recommended,2021-01-01,Asia
95,Madagascar,Recommended,2021-01-01,Africa
96,Malawi,No measures,2021-02-22,Africa
97,Malaysia,Required for some levels,2021-03-01,Asia
98,Mali,Recommended,2021-01-26,Africa
99,Malta,Recommended,2021-01-01,Europe
100,Mauritania,No measures,2021-03-02,Africa
101,Mauritius,Required for all levels,2021-03-10,Africa
102,Mexico,Required for all levels,2021-01-01,North America
103,Moldova,Required for all levels,2021-03-01,Europe
104,Monaco,Recommended,2021-01-01,Europe
105,Mongolia,Required for all levels,2021-01-01,Asia
106,Morocco,Recommended,2021-01-01,Africa
107,Mozambique,Recommended,2021-03-07,Africa
108,Myanmar,Required for all levels,2021-01-01,Asia
109,Namibia,Recommended,2021-01-26,Africa
110,Nepal,No measures,2021-03-02,Asia
111,Netherlands,Required for some levels,2021-02-08,Europe
112,New Zealand,No measures,2021-01-01,Oceania
113,Nicaragua,No measures,2021-01-01,North America
114,Niger,No measures,2021-01-01,Africa
115,Nigeria,Recommended,2021-03-09,Africa
116,Norway,Recommended,2021-01-01,Europe
117,Oman,Required for some levels,2021-03-07,Asia
118,Pakistan,No measures,2021-02-01,Asia
119,Palestine,Required for some levels,2021-01-18,Asia
120,Panama,Required for all levels,2021-01-01,North America
121,Papua New Guinea,No measures,2021-01-01,Oceania
122,Paraguay,Required for some levels,2021-03-02,South America
123,Peru,Required for some levels,2021-01-01,South America
124,Philippines,Required for some levels,2021-02-22,Asia
125,Poland,Required for all levels,2021-01-01,Europe
126,Portugal,Required for all levels,2021-01-22,Europe
127,Qatar,Required for some levels,2021-01-01,Asia
128,Romania,Required for some levels,2021-02-15,Europe
129,Russia,No measures,2021-03-05,Europe
130,Rwanda,Recommended,2021-01-01,Africa
131,San Marino,Required for some levels,2021-01-07,Europe
132,Saudi Arabia,Required for all levels,2021-01-01,Asia
133,Senegal,No measures,2021-01-01,Africa
134,Serbia,Required for some levels,2021-01-01,Europe
135,Seychelles,Required for all levels,2021-01-23,Africa
136,Sierra Leone,Recommended,2021-01-01,Africa
137,Singapore,Recommended,2021-01-01,Asia
138,Slovakia,Required for all levels,2021-01-11,Europe
139,Slovenia,Required for some levels,2021-01-23,Europe
140,Solomon Islands,No measures,2021-01-01,Oceania
141,Somalia,Required for all levels,2021-02-22,Africa
142,South Africa,Recommended,2021-01-01,Africa
143,South Korea,Recommended,2021-03-01,Asia
144,South Sudan,Required for some levels,2021-01-05,Africa
145,Spain,Recommended,2021-01-07,Europe
146,Sudan,Recommended,2021-02-22,Africa
147,Suriname,Recommended,2021-03-01,South America
148,Sweden,Required for some levels,2021-01-01,Europe
149,Switzerland,Required for some levels,2021-01-01,Europe
150,Syria,No measures,2021-02-04,Asia
151,Taiwan,No measures,2021-01-01,Asia
152,Tajikistan,Recommended,2021-01-01,Asia
153,Tanzania,No measures,2021-02-16,Africa
154,Thailand,Recommended,2021-02-01,Asia
155,Timor,Required for all levels,2021-01-04,Asia
156,Togo,Required for some levels,2021-03-01,Africa
157,Trinidad and Tobago,Required for some levels,2021-02-08,North America
158,Tunisia,Recommended,2021-03-09,Africa
159,Turkey,Required for some levels,2021-01-01,Asia
160,Uganda,Required for some levels,2021-01-01,Africa
161,Ukraine,Required for some levels,2021-01-01,Europe
162,United Arab Emirates,Recommended,2021-01-01,Asia
163,United Kingdom,Required for some levels,2021-03-08,Europe
164,United States,Required for some levels,2021-02-03,North America
165,Uruguay,Required for some levels,2021-02-21,South America
166,Uzbekistan,Recommended,2021-01-01,Asia
167,Vanuatu,No measures,2021-01-01,Oceania
168,Venezuela,Required for all levels,2021-01-01,South America
169,Vietnam,Recommended,2021-02-16,Asia
170,Yemen,No measures,2021-01-01,Asia
171,Zambia,No measures,2021-02-01,Africa
172,Zimbabwe,Required for some levels,2021-01-05,Africa
