,Country,Month,Vaccinations
0,China,2020-12,4500000.0
0,United States,2020-12,2794588.0
0,United Kingdom,2020-12,1005073.0
0,Israel,2020-12,988618.0
0,Germany,2020-12,182125.0
0,Canada,2020-12,97582.0
0,Bahrain,2020-12,58643.0
0,Russia,2020-12,52000.0
0,Poland,2020-12,47600.0
0,Italy,2020-12,39666.0
0,United States,2021-01,31123299.0
0,China,2021-01,24000000.0
0,United Kingdom,2021-01,9808803.0
0,Israel,2021-01,4947724.0
0,India,2021-01,3758843.0
0,United Arab Emirates,2021-01,3334162.0
0,Germany,2021-01,2542053.0
0,Brazil,2021-01,2074059.0
0,Italy,2021-01,2009322.0
0,Turkey,2021-01,1986237.0
0,United States,2021-02,75236003.0
0,China,2021-02,52554426.0
0,United Kingdom,2021-02,21157537.0
0,India,2021-02,14301266.0
0,Turkey,2021-02,8547875.0
0,Brazil,2021-02,8433568.0
0,Israel,2021-02,8107078.0
0,Germany,2021-02,6270597.0
0,United Arab Emirates,2021-02,6020461.0
0,France,2021-02,4560861.0
0,United States,2021-03,136684688.0
0,China,2021-03,97948311.0
0,India,2021-03,58109773.0
0,Brazil,2021-03,17032868.0
0,Turkey,2021-03,14491247.0
0,Germany,2021-03,12363439.0
0,Russia,2021-03,10600000.0
0,Indonesia,2021-03,10412824.0
0,Israel,2021-03,9917758.0
0,France,2021-03,9792674.0
