,Entity,Workplace Closures,Day,continent
0,Albania,Recommended,2021-01-01,Europe
1,Algeria,Required for some,2021-01-01,Africa
2,Andorra,Required for some,2021-01-01,Europe
3,Angola,Recommended,2021-02-05,Africa
4,Argentina,Required for some,2021-01-01,South America
5,Australia,Required for some,2021-02-05,Oceania
6,Austria,Required for some,2021-02-08,Europe
7,Azerbaijan,Recommended,2021-02-01,Asia
8,Bahamas,Required for some,2021-01-01,North America
9,Bahrain,Required for some,2021-01-01,Asia
10,Bangladesh,Required for all but key workers,2021-01-01,Asia
11,Barbados,Required for some,2021-03-01,North America
12,Belarus,No measures,2021-01-01,Europe
13,Belgium,Required for some,2021-01-01,Europe
14,Belize,Required for some,2021-01-01,North America
15,Benin,Recommended,2021-01-01,Africa
16,Bermuda,Recommended,2021-01-21,North America
17,Bhutan,Recommended,2021-02-01,Asia
18,Bolivia,No measures,2021-01-05,South America
19,Bosnia and Herzegovina,Required for some,2021-01-01,Europe
20,Botswana,Recommended,2021-01-01,Africa
21,Brazil,Required for all but key workers,2021-01-01,South America
22,Brunei,Recommended,2021-01-01,Asia
23,Bulgaria,Required for some,2021-01-01,Europe
24,Burkina Faso,No measures,2021-01-01,Africa
25,Burundi,Recommended,2021-02-01,Africa
26,Cambodia,No measures,2021-02-09,Asia
27,Cameroon,Recommended,2021-01-05,Africa
28,Canada,Required for some,2021-03-13,North America
29,Central African Republic,No measures,2021-01-01,Africa
30,Chad,No measures,2021-02-02,Africa
31,Chile,Required for all but key workers,2021-01-01,South America
32,China,Required for some,2021-01-01,Asia
33,Colombia,Required for all but key workers,2021-01-07,South America
34,Congo,Recommended,2021-01-01,Africa
35,Costa Rica,Required for some,2021-01-01,North America
36,Cote d'Ivoire,No measures,2021-01-01,Africa
37,Croatia,Recommended,2021-03-01,Europe
38,Cuba,Required for all but key workers,2021-01-09,North America
39,Cyprus,Required for some,2021-01-01,Europe
40,Czechia,Required for some,2021-01-01,Europe
41,Democratic Republic of Congo,No measures,2021-02-16,Africa
42,Denmark,Required for some,2021-01-01,Europe
43,Djibouti,Recommended,2021-01-01,Africa
44,Dominican Republic,Required for some,2021-01-01,North America
45,Ecuador,Required for some,2021-01-01,South America
46,Egypt,Required for some,2021-01-01,Africa
47,El Salvador,Recommended,2021-01-01,North America
48,Eritrea,Required for all but key workers,2021-01-01,Africa
49,Estonia,Required for all but key workers,2021-03-11,Europe
50,Eswatini,Recommended,2021-01-01,Africa
51,Ethiopia,Recommended,2021-01-01,Africa
52,Faeroe Islands,Required for some,2021-01-01,Europe
53,Fiji,Required for some,2021-01-01,Oceania
54,Finland,Required for some,2021-01-01,Europe
55,France,Required for all but key workers,2021-02-26,Europe
56,Gabon,Required for some,2021-01-01,Africa
57,Gambia,No measures,2021-01-01,Africa
58,Georgia,Required for some,2021-01-01,Asia
59,Germany,Required for some,2021-03-01,Europe
60,Ghana,Required for some,2021-01-25,Africa
61,Greece,Required for all but key workers,2021-02-28,Europe
62,Greenland,No measures,2021-01-05,North America
63,Guatemala,Recommended,2021-01-01,North America
64,Guinea,Required for some,2021-03-02,Africa
65,Guyana,Recommended,2021-01-01,South America
66,Haiti,No measures,2021-01-01,North America
67,Honduras,Required for all but key workers,2021-01-10,North America
68,Hong Kong,Required for some,2021-01-01,Asia
69,Hungary,Required for all but key workers,2021-03-08,Europe
70,Iceland,Recommended,2021-02-08,Europe
71,India,Required for some,2021-01-01,Asia
72,Indonesia,Required for some,2021-01-01,Asia
73,Iran,Required for all but key workers,2021-01-01,Asia
74,Iraq,Required for all but key workers,2021-02-23,Asia
75,Ireland,Required for all but key workers,2021-01-01,Europe
76,Israel,Required for some,2021-02-07,Asia
77,Italy,Required for all but key workers,2021-01-01,Europe
78,Jamaica,Required for some,2021-01-05,North America
79,Japan,Recommended,2021-01-01,Asia
80,Jordan,Required for some,2021-01-01,Asia
81,Kazakhstan,Required for some,2021-01-01,Asia
82,Kenya,Recommended,2021-01-01,Africa
83,Kosovo,Required for some,2021-01-01,Europe
84,Kuwait,Required for some,2021-02-07,Asia
85,Kyrgyzstan,Required for some,2021-01-01,Asia
86,Laos,No measures,2021-01-18,Asia
